year;team;standing
2018;Man United;2
2019;Man United;6
2020;Man United;3
2021;Man United;2
2022;Man United;6
2023;Man United;3
2017;Middlesbrough;19
2015;Newcastle;15
2016;Newcastle;18
2018;Newcastle;10
2019;Newcastle;13
2020;Newcastle;13
2021;Newcastle;12
2022;Newcastle;11
2023;Newcastle;4
2015;Norwich City;21
2016;Norwich City;19
2017;Norwich City;21
2018;Norwich City;21
2019;Norwich City;21
2020;Norwich City;20
2021;Norwich City;21
2022;Norwich City;20
2023;Norwich City;21
2015;Sheffield United;21
2016;Sheffield United;21
2017;Sheffield United;21
2018;Sheffield United;21
2019;Sheffield United;21
2020;Sheffield United;9
2021;Sheffield United;20
2022;Sheffield United;21
2023;Sheffield United;21
2015;Southampton;7
2016;Southampton;6
2017;Southampton;8
2018;Southampton;17
2019;Southampton;16
2020;Southampton;11
2021;Southampton;15
2022;Southampton;15
2023;Southampton;20
2015;Stoke City;9
2016;Stoke City;9
2017;Stoke City;13
2018;Stoke City;19
2018;Stoke City;21
2019;Stoke City;21
2020;Stoke City;21
2021;Stoke City;21
2022;Stoke City;21
2023;Stoke City;21
2015;Sunderland;16
2016;Sunderland;17
2017;Sunderland;20
2018;Sunderland;21
2019;Sunderland;21
2020;Sunderland;21
2021;Sunderland;21
2022;Sunderland;21
2023;Sunderland;21
2015;Swansea;8
2016;Swansea;12
2017;Swansea;15
2018;Swansea;18
2019;Swansea;21
2016;Tottenham;3
2016;Tottenham;5
2017;Tottenham;2
2018;Tottenham;3
2019;Tottenham;4
2020;Tottenham;6
2021;Tottenham;7
2022;Tottenham;4
2023;Tottenham;8
2016;Watford;13
2017;Watford;17
2018;Watford;14
2019;Watford;11
2020;Watford;19
2021;Watford;21
2022;Watford;19
2023;Watford;21
2015;West Brom;13
2016;West Brom;14
2017;West Brom;10
2018;West Brom;20
2019;West Brom;21
2020;West Brom;21
2021;West Brom;19
2022;West Brom;21
2023;West Brom;21
2015;West Ham;12
2016;West Ham;7
2017;West Ham;11
2018;West Ham;13
2019;West Ham;10
2020;West Ham;16
2021;West Ham;6
2022;West Ham;7
2023;West Ham;14
2015;Wolves;21
2016;Wolves;21
2017;Wolves;21
2018;Wolves;21
2019;Wolves;7
2020;Wolves;7
2021;Wolves;13
2022;Wolves;10
2023;Wolves;13
2024;Man City;1
2024;Arsenal;2
2024;Liverpool;3
2024;Aston Villa;4
2024;Tottenham;5
2024;Chelsea;6
2024;Newcastle;7
2024;Man United;8
2024;West Ham;9
2024;Crystal Palace;10
2024;Brighton;11
2024;Bournemouth;12
2024;Fulham;13
2024;Wolves;14
2024;Everton;15
2024;Brentford;16
2024;Nottingham;17
2024;Luton;18
2024;Burnley;19
2024;Sheffield United;20
